ID ORDEN,FECHA DE ORDEN,FECHA DE DESPACHO,PRIORIDAD,ID CLIENTE,CLIENTE,SEGMENTO DE CLIENTE,CATEGORIA DE PRODUCTO,SUBCATEGORIA DE PRODUCTO,PRODUCTO,CIUDAD,PRECIO UNITARIO,CANTIDAD DE PEDIDO,DESCUENTO x unidad,COSTO DE ENVIO
86489,13/02/2015,"viernes, 13 de Febrero de 2015",Medium,3170,Lawrence Haas,Corporate,Office Supplies,Paper,Southworth Structures Collection™,Florida,7.28,12,0.1,5.47
86490,13/04/2015,"martes, 14 de Abril de 2015",Critical,3169,Janice Boswell,Small Business,Office Supplies,Paper,"Array® Parchment Paper, Assorted Colors",Florida,7.28,1,0.08,11.15
86491,19/06/2015,"domingo, 21 de Junio de 2015",Not Specified,3167,Ray Silverman,Corporate,Office Supplies,Pens & Art Supplies,Fluorescent Highlighters by Dixon,Florida,3.98,11,0.1,0.83
86491,19/06/2015,"sábado, 20 de Junio de 2015",Not Specified,3167,Ray Silverman,Corporate,Furniture,Chairs & Chairmats,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Florida,280.98,14,0.07,57
86491,19/06/2015,"domingo, 21 de Junio de 2015",Not Specified,3167,Ray Silverman,Corporate,Office Supplies,Paper,Xerox 1922,Florida,4.98,15,0,7.44
86500,17/05/2015,"martes, 26 de Mayo de 2015",Low,1907,Amy Hall,Corporate,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Ohio,7.64,1,0.09,1.39
86500,17/05/2015,"domingo, 17 de Mayo de 2015",Low,1906,Penny Tuttle,Corporate,Office Supplies,Binders and Binder Accessories,Ibico EB-19 Dual Function Manual Binding System,Ohio,172.99,22,0.07,19.99
86507,14/01/2015,"miércoles, 14 de Enero de 2015",Not Specified,3225,Robyn Crawford,Small Business,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Tennessee,208.16,4,0.1,68.02
86507,14/01/2015,"viernes, 16 de Enero de 2015",Not Specified,3226,Arthur Gold,Small Business,Furniture,Office Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Tennessee,9.48,1,0.01,7.29
86507,14/01/2015,"jueves, 15 de Enero de 2015",Not Specified,3226,Arthur Gold,Small Business,Office Supplies,Pens & Art Supplies,Newell 336,Tennessee,4.28,4,0.02,0.94
86507,14/01/2015,"jueves, 15 de Enero de 2015",Not Specified,3226,Arthur Gold,Small Business,Office Supplies,Envelopes,Tyvek® Side-Opening Peel & Seel® Expanding Envelopes,Tennessee,90.48,2,0.07,19.99
86508,01/04/2015,"jueves, 02 de Abril de 2015",Critical,3224,Claudia White,Small Business,Furniture,Chairs & Chairmats,Novimex Fabric Task Chair,Tennessee,60.98,2,0.06,30
86509,28/06/2015,"martes, 30 de Junio de 2015",Medium,3226,Arthur Gold,Small Business,Technology,Computer Peripherals,"Verbatim DVD-R, 3.95GB, SR, Mitsubishi Branded, Jewel",Tennessee,22.24,12,0.06,1.99
86514,21/02/2015,"sábado, 21 de Febrero de 2015",Low,2472,Ricky Sanders,Home Office,Office Supplies,Labels,Avery 493,Illinois,4.91,10,0.1,0.5
86520,12/01/2015,"miércoles, 14 de Enero de 2015",High,120,Helen H Murphy,Corporate,Technology,Telephones and Communication,T6185,Utah,205.99,10,0.09,3
86520,12/01/2015,"martes, 13 de Enero de 2015",High,120,Helen H Murphy,Corporate,Office Supplies,Labels,Avery 51,Utah,6.3,10,0.05,0.5
86527,09/01/2015,"miércoles, 14 de Enero de 2015",Low,2555,Karl Knowles,Home Office,Office Supplies,Pens & Art Supplies,12 Colored Short Pencils,Wisconsin,2.6,12,0.1,2.4
86528,12/02/2015,"viernes, 13 de Febrero de 2015",Medium,2553,Virginia McNeill,Home Office,Office Supplies,Binders and Binder Accessories,GBC ProClick Spines for 32-Hole Punch,Wisconsin,12.53,1,0.03,7.17
86529,02/02/2015,"lunes, 02 de Febrero de 2015",Critical,2555,Karl Knowles,Home Office,Office Supplies,Labels,Avery 508,Wisconsin,4.91,9,0.06,0.5
86529,02/02/2015,"martes, 03 de Febrero de 2015",Critical,2555,Karl Knowles,Home Office,Office Supplies,Binders and Binder Accessories,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",Wisconsin,12.97,19,0,1.49
86534,20/04/2015,"lunes, 20 de Abril de 2015",High,1259,Keith Hobbs,Home Office,Office Supplies,Envelopes,Colored Envelopes,Kentucky,3.69,9,0.03,2.5
86535,22/05/2015,"sábado, 23 de Mayo de 2015",Medium,1257,Ryan Foster,Home Office,Technology,Office Machines,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Colorado,115.99,5,0.01,56.14
86536,24/04/2015,"viernes, 24 de Abril de 2015",Critical,1257,Ryan Foster,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Letter Slitter,Colorado,2.52,1,0.04,1.92
86544,27/01/2015,"jueves, 29 de Enero de 2015",Critical,2980,Joanna Kenney,Corporate,Office Supplies,Pens & Art Supplies,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Ohio,43.98,10,0.03,8.99
86544,27/01/2015,"miércoles, 28 de Enero de 2015",Critical,2979,Lloyd Dolan,Corporate,Office Supplies,Pens & Art Supplies,Newell 338,North Dakota,2.94,9,0.09,0.7
86544,27/01/2015,"viernes, 30 de Enero de 2015",Critical,2980,Joanna Kenney,Corporate,Office Supplies,Rubber Bands,OIC Thumb-Tacks,Ohio,1.14,13,0.06,0.7
86545,26/02/2015,"sábado, 28 de Febrero de 2015",Critical,2979,Lloyd Dolan,Corporate,Office Supplies,Binders and Binder Accessories,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,North Dakota,5.34,6,0.02,2.99
86545,26/02/2015,"viernes, 27 de Febrero de 2015",Critical,2979,Lloyd Dolan,Corporate,Office Supplies,Binders and Binder Accessories,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",North Dakota,40.98,6,0.03,7.47
86546,14/06/2015,"martes, 16 de Junio de 2015",Not Specified,2979,Lloyd Dolan,Corporate,Office Supplies,Pens & Art Supplies,Avery Hi-Liter® Smear-Safe Highlighters,North Dakota,5.84,4,0.01,0.83
86547,25/02/2015,"viernes, 27 de Febrero de 2015",Medium,2980,Joanna Kenney,Corporate,Office Supplies,Labels,Avery 494,Ohio,2.61,6,0.07,0.5
86548,30/05/2015,"jueves, 04 de Junio de 2015",Low,2980,Joanna Kenney,Corporate,Office Supplies,Pens & Art Supplies,"Sanford Colorific Colored Pencils, 12/Box",Ohio,2.88,39,0.04,1.01
86555,13/03/2015,"sábado, 14 de Marzo de 2015",Critical,573,Vanessa Winstead,Home Office,Office Supplies,Binders and Binder Accessories,"ACCOHIDE® 3-Ring Binder, Blue, 1""",Illinois,4.13,1,0.05,5.04
86556,26/02/2015,"viernes, 27 de Febrero de 2015",High,573,Vanessa Winstead,Corporate,Office Supplies,Storage & Organization,Deluxe Rollaway Locking File with Drawer,Illinois,415.88,1,0.08,11.37
86565,11/01/2015,"martes, 13 de Enero de 2015",Critical,947,Dorothy Buchanan,Home Office,Furniture,Office Furnishings,Coloredge Poster Frame,New Jersey,14.2,5,0.08,5.3
86566,01/03/2015,"lunes, 02 de Marzo de 2015",Critical,946,Denise Parks,Home Office,Furniture,Office Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Maine,90.98,20,0.09,56.2
86567,06/03/2015,"viernes, 06 de Marzo de 2015",Not Specified,945,Stephanie Sun Perry,Home Office,Office Supplies,Binders and Binder Accessories,GBC Wire Binding Strips,California,31.74,3,0.03,12.62
86573,04/01/2015,"martes, 06 de Enero de 2015",Medium,1142,Russell Chan,Home Office,Office Supplies,Appliances,Hoover WindTunnel™ Plus Canister Vacuum,Texas,363.25,7,0.05,19.99
86574,16/02/2015,"jueves, 19 de Febrero de 2015",Medium,1138,Malcolm Floyd,Home Office,Furniture,Chairs & Chairmats,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Texas,160.98,1,0.02,30
86575,06/06/2015,"martes, 09 de Junio de 2015",Medium,1142,Russell Chan,Home Office,Office Supplies,Paper,Xerox 1939,Texas,18.97,11,0.01,9.54
86591,16/01/2015,"domingo, 18 de Enero de 2015",Critical,2924,Courtney Nelson,Consumer,Furniture,Office Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Maryland,110.98,2,0.02,13.99
86591,16/01/2015,"domingo, 18 de Enero de 2015",Critical,2924,Courtney Nelson,Consumer,Office Supplies,Paper,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Maryland,8.01,8,0.01,2.87
86592,28/02/2015,"lunes, 02 de Marzo de 2015",Medium,2923,Lynne Griffith,Consumer,Office Supplies,Binders and Binder Accessories,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Maryland,6.37,15,0,5.19
86599,30/03/2015,"miércoles, 01 de Abril de 2015",Not Specified,1840,Clifford Webb,Home Office,Office Supplies,Binders and Binder Accessories,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Massachusetts,40.98,13,0.07,2.99
86600,19/04/2015,"lunes, 20 de Abril de 2015",High,1836,Dwight Albright Huffman,Corporate,Technology,Telephones and Communication,CF 688,California,155.99,5,0.01,8.99
86600,19/04/2015,"martes, 21 de Abril de 2015",High,1837,Herbert Williamson,Corporate,Office Supplies,Paper,Xerox 1983,California,5.98,4,0.01,5.46
86610,26/05/2015,"miércoles, 27 de Mayo de 2015",Critical,2266,Brandon Beach,Corporate,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Missouri,15.67,16,0.01,1.39
86610,26/05/2015,"jueves, 28 de Mayo de 2015",Critical,2266,Brandon Beach,Corporate,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",Missouri,11.33,3,0.02,6.12
86611,26/01/2015,"jueves, 29 de Enero de 2015",Not Specified,2264,Helen Dickerson,Corporate,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Missouri,207.48,3,0.09,0.99
86612,29/01/2015,"domingo, 01 de Febrero de 2015",Critical,2265,James Davenport,Corporate,Office Supplies,Binders and Binder Accessories,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Missouri,7.45,8,0.1,6.28
86612,29/01/2015,"sábado, 31 de Enero de 2015",Critical,2265,James Davenport,Corporate,Office Supplies,Paper,Xerox 213,Missouri,6.48,10,0.01,7.86
86621,22/02/2015,"domingo, 22 de Febrero de 2015",Not Specified,236,Shawn McIntyre,Corporate,Technology,Office Machines,Okidata ML390 Turbo Dot Matrix Printers,Colorado,442.14,10,0,14.7
86629,05/02/2015,"viernes, 06 de Febrero de 2015",Medium,2094,Vernon Hirsch Singleton,Corporate,Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,California,400.98,20,0.08,42.52
86633,16/06/2015,"martes, 16 de Junio de 2015",Critical,2677,Geoffrey Rivera,Small Business,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",Virginia,6.88,5,0,2
86633,16/06/2015,"miércoles, 17 de Junio de 2015",Critical,2677,Geoffrey Rivera,Small Business,Furniture,Office Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Virginia,41.32,10,0.03,58.66
86639,29/05/2015,"viernes, 05 de Junio de 2015",Low,759,Bernice F Day,Small Business,Technology,Telephones and Communication,Accessory39,Illinois,20.99,5,0,3.3
86645,03/05/2015,"martes, 05 de Mayo de 2015",Low,1680,Esther Whitaker,Consumer,Furniture,Office Furnishings,Electrix Fluorescent Magnifier Lamps & Weighted Base,Ohio,49.34,17,0.03,10.25
86645,03/05/2015,"martes, 05 de Mayo de 2015",Low,1680,Esther Whitaker,Consumer,Office Supplies,Envelopes,Staples Colored Interoffice Envelopes,Ohio,30.98,18,0.09,19.51
86646,20/03/2015,"sábado, 21 de Marzo de 2015",Medium,1679,Jeanne Nguyen,Consumer,Furniture,Office Furnishings,DAX Wood Document Frame.,Ohio,13.73,21,0.07,6.85
86654,26/04/2015,"martes, 28 de Abril de 2015",Not Specified,2380,Lisa Branch,Small Business,Office Supplies,Pens & Art Supplies,Avery Hi-Liter® Fluorescent Desk Style Markers,Michigan,3.38,9,0.07,0.85
86655,05/05/2015,"jueves, 07 de Mayo de 2015",Low,2379,Mildred Briggs,Small Business,Office Supplies,Binders and Binder Accessories,GBC Therma-A-Bind 250T Electric Binding System,Michigan,122.99,12,0.06,19.99
86655,05/05/2015,"jueves, 07 de Mayo de 2015",Low,2380,Lisa Branch,Small Business,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Michigan,68.81,17,0.08,60
86662,03/02/2015,"jueves, 05 de Febrero de 2015",Medium,3053,Robin Tyler,Corporate,Technology,Telephones and Communication,i2000,Kentucky,125.99,11,0.06,2.5
86668,04/04/2015,"lunes, 06 de Abril de 2015",Medium,1593,Ronald O'Neill,Corporate,Office Supplies,Binders and Binder Accessories,Avery Durable Poly Binders,Oklahoma,5.53,8,0.02,6.98
86668,04/04/2015,"sábado, 04 de Abril de 2015",Medium,1590,Lucille Buchanan,Corporate,Furniture,Office Furnishings,"Eldon Expressions™ Desk Accessory, Wood Photo Frame, Mahogany",Ohio,19.04,7,0.03,6.38
86686,08/04/2015,"viernes, 10 de Abril de 2015",Critical,1935,Diana Coble Hubbard,Corporate,Office Supplies,Appliances,Belkin F9M820V08 8 Outlet Surge,Texas,42.98,9,0.01,4.62
86687,19/04/2015,"jueves, 23 de Abril de 2015",Low,1933,William Crawford,Corporate,Office Supplies,Rubber Bands,"OIC Colored Binder Clips, Assorted Sizes",Texas,3.58,10,0.06,1.63
86688,30/05/2015,"domingo, 07 de Junio de 2015",Low,1935,Diana Coble Hubbard,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Texas,3.95,23,0.05,2
86688,30/05/2015,"viernes, 05 de Junio de 2015",Low,1935,Diana Coble Hubbard,Home Office,Office Supplies,Appliances,"Bravo II™ Megaboss® 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Texas,3.25,2,0.06,49
86688,30/05/2015,"sábado, 30 de Mayo de 2015",Low,1934,Scott Moore,Home Office,Furniture,Chairs & Chairmats,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Texas,180.98,3,0.04,30
86688,30/05/2015,"jueves, 04 de Junio de 2015",Low,1935,Diana Coble Hubbard,Home Office,Furniture,Office Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Texas,110.98,19,0.01,13.99
86693,27/01/2015,"miércoles, 28 de Enero de 2015",Not Specified,129,Kara Allison,Small Business,Furniture,Office Furnishings,"Eldon Regeneration Recycled Desk Accessories, Smoke",Illinois,1.74,5,0.02,4.08
86694,25/05/2015,"martes, 26 de Mayo de 2015",Not Specified,129,Kara Allison,Small Business,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Illinois,15.74,14,0.07,1.39
86699,13/04/2015,"lunes, 20 de Abril de 2015",Low,2250,Alvin Hoover,Home Office,Furniture,Office Furnishings,Eldon® Wave Desk Accessories,Pennsylvania,2.08,22,0,5.33
86722,24/04/2015,"domingo, 26 de Abril de 2015",Low,1670,Carolyn Bowling,Small Business,Technology,Computer Peripherals,Imation DVD-RAM discs,Virginia,35.41,10,0.03,1.99
86722,24/04/2015,"domingo, 03 de Mayo de 2015",Low,1670,Carolyn Bowling,Small Business,Office Supplies,Storage & Organization,Letter Size Cart,Virginia,142.86,11,0,19.99
86723,07/06/2015,"viernes, 12 de Junio de 2015",Low,1672,Sidney Scarborough,Small Business,Furniture,Chairs & Chairmats,Global Commerce™ Series High-Back Swivel/Tilt Chairs,Virginia,284.98,3,0.02,69.55
86723,07/06/2015,"martes, 09 de Junio de 2015",Low,1672,Sidney Scarborough,Small Business,Office Supplies,Paper,Xerox 194,Virginia,55.48,17,0.08,14.3
86724,09/02/2015,"viernes, 13 de Febrero de 2015",Low,1671,Mitchell Ross,Small Business,Office Supplies,Labels,Avery 491,Virginia,4.13,13,0.1,0.99
86725,12/05/2015,"miércoles, 13 de Mayo de 2015",Critical,1671,Mitchell Ross,Small Business,Office Supplies,Binders and Binder Accessories,GBC DocuBind TL200 Manual Binding Machine,Virginia,223.98,21,0.03,15.01
86734,05/04/2015,"martes, 07 de Abril de 2015",High,1459,Steve Raynor,Consumer,Technology,Telephones and Communication,Accessory34,South Carolina,85.99,4,0.05,0.99
86735,24/05/2015,"lunes, 25 de Mayo de 2015",Medium,1450,Veronica Peck,Consumer,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",California,218.08,12,0.1,18.06
86750,06/01/2015,"miércoles, 07 de Enero de 2015",Critical,2418,Kyle Fink,Consumer,Office Supplies,Pens & Art Supplies,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",Virginia,2.1,4,0.03,0.7
86751,26/03/2015,"jueves, 26 de Marzo de 2015",Not Specified,2419,Sandra Faulkner,Consumer,Office Supplies,Appliances,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,Virginia,225.04,5,0.07,11.79
86751,26/03/2015,"domingo, 29 de Marzo de 2015",Not Specified,2419,Sandra Faulkner,Consumer,Office Supplies,Binders and Binder Accessories,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,Virginia,7.84,7,0.03,4.71
86752,06/05/2015,"miércoles, 06 de Mayo de 2015",High,2420,Wesley Cho,Consumer,Office Supplies,Paper,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Virginia,9.11,11,0.04,2.15
86753,10/01/2015,"domingo, 11 de Enero de 2015",High,2418,Kyle Fink,Consumer,Technology,Copiers and Fax,Canon PC1080F Personal Copier,Virginia,599.99,11,0.1,24.49
86753,10/01/2015,"lunes, 12 de Enero de 2015",High,2418,Kyle Fink,Consumer,Office Supplies,Pens & Art Supplies,Newell 318,Virginia,2.78,10,0.06,1.25
86754,14/03/2015,"domingo, 15 de Marzo de 2015",Medium,2417,Ken H Frazier,Consumer,Technology,Telephones and Communication,StarTAC 7760,Virginia,65.99,13,0,3.99
86767,07/02/2015,"sábado, 14 de Febrero de 2015",Low,1121,Tonya Proctor,Consumer,Office Supplies,Paper,Southworth 25% Cotton Premium Laser Paper and Envelopes,California,19.98,8,0.04,8.68
86767,07/02/2015,"lunes, 09 de Febrero de 2015",Low,1121,Tonya Proctor,Consumer,Technology,Telephones and Communication,Timeport L7089,California,125.99,7,0.08,7.69
86768,05/02/2015,"viernes, 06 de Febrero de 2015",Not Specified,1117,Samantha Koch,Home Office,Office Supplies,Storage & Organization,Space Solutions Commercial Steel Shelving,Arizona,64.65,4,0.06,35
86789,16/01/2015,"sábado, 17 de Enero de 2015",Medium,3133,Kristine Singleton,Corporate,Office Supplies,Rubber Bands,Assorted Color Push Pins,Illinois,1.81,10,0.03,0.75
86789,16/01/2015,"sábado, 17 de Enero de 2015",Medium,3133,Kristine Singleton,Corporate,Office Supplies,Binders and Binder Accessories,Fellowes Black Plastic Comb Bindings,Illinois,5.81,12,0.1,8.49
86790,22/06/2015,"martes, 23 de Junio de 2015",High,3132,Anita Kang,Corporate,Furniture,Chairs & Chairmats,Global Ergonomic Managers Chair,Illinois,180.98,3,0.1,26.2
86791,22/02/2015,"domingo, 22 de Febrero de 2015",Critical,3136,Lee Hancock,Consumer,Furniture,Chairs & Chairmats,"Global Leather & Oak Executive Chair, Burgundy",Maine,150.89,23,0.03,60.2
86792,04/03/2015,"jueves, 05 de Marzo de 2015",Critical,3133,Kristine Singleton,Corporate,Technology,Telephones and Communication,T300 Series Non-Flip,Illinois,155.99,22,0.04,8.08
86792,04/03/2015,"miércoles, 04 de Marzo de 2015",Critical,3133,Kristine Singleton,Corporate,Office Supplies,Binders and Binder Accessories,3M Organizer Strips,Illinois,5.4,4,0.08,7.78
86792,04/03/2015,"jueves, 05 de Marzo de 2015",Critical,3133,Kristine Singleton,Corporate,Furniture,Office Furnishings,"GE 4 Foot Flourescent Tube, 40 Watt",Illinois,14.98,10,0.21,8.99
86792,04/03/2015,"sábado, 07 de Marzo de 2015",Critical,3133,Kristine Singleton,Corporate,Technology,Computer Peripherals,"Imation 3.5 IBM Diskettes, 10/Box",Illinois,8.46,5,0.09,8.99
86793,02/05/2015,"martes, 05 de Mayo de 2015",Critical,3139,David Powell,Home Office,Furniture,Chairs & Chairmats,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,New Jersey,280.98,31,0.09,57
86794,17/05/2015,"lunes, 18 de Mayo de 2015",Medium,3132,Anita Kang,Corporate,Office Supplies,Appliances,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Illinois,62.05,40,0.04,3.99
86795,08/06/2015,"martes, 09 de Junio de 2015",Not Specified,3137,Alison Sharp,Corporate,Office Supplies,Binders and Binder Accessories,Ibico Hi-Tech Manual Binding System,New Hampshire,304.99,8,0.09,19.99
86796,19/06/2015,"domingo, 21 de Junio de 2015",Not Specified,3138,Herbert Donnelly Swanson,Corporate,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,New Hampshire,4.06,22,0.05,6.89
86812,10/02/2015,"miércoles, 11 de Febrero de 2015",High,1526,Larry Hall,Home Office,Office Supplies,Paper,Xerox 188,Alabama,11.34,10,0.04,5.01
86813,09/01/2015,"domingo, 11 de Enero de 2015",Critical,1527,Neil Parker,Small Business,Office Supplies,Pens & Art Supplies,"Boston School Pro Electric Pencil Sharpener, 1670",Alabama,30.98,5,0.03,8.99
86813,09/01/2015,"domingo, 11 de Enero de 2015",Critical,1528,Brad Stark,Small Business,Office Supplies,Binders and Binder Accessories,GBC DocuBind 300 Electric Binding Machine,North Carolina,525.98,9,0.01,19.99
86814,30/03/2015,"jueves, 09 de Abril de 2015",Low,1527,Neil Parker,Home Office,Technology,Telephones and Communication,T8860,Alabama,65.99,23,0.03,5.26
86815,21/05/2015,"jueves, 28 de Mayo de 2015",Low,1527,Neil Parker,Home Office,Technology,Computer Peripherals,Microsoft Natural Multimedia Keyboard,Alabama,50.98,28,0.09,6.5
86826,05/03/2015,"viernes, 06 de Marzo de 2015",Not Specified,1433,Frances Jackson,Corporate,Office Supplies,Pens & Art Supplies,Newell 337,Indiana,3.28,7,0.02,3.97
86826,05/03/2015,"viernes, 06 de Marzo de 2015",Not Specified,1432,Kerry Green,Corporate,Office Supplies,Envelopes,"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box",Indiana,9.78,11,0.05,1.39
86827,20/06/2015,"sábado, 27 de Junio de 2015",Low,1432,Kerry Green,Corporate,Office Supplies,Envelopes,"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",Indiana,10.98,16,0.07,4.8
86828,19/05/2015,"jueves, 21 de Mayo de 2015",High,1433,Frances Jackson,Corporate,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Indiana,300.98,14,0.07,64.73
86828,19/05/2015,"martes, 19 de Mayo de 2015",High,1433,Frances Jackson,Corporate,Office Supplies,Storage & Organization,"Tennsco Lockers, Sand",Indiana,20.98,28,0.01,45
86836,12/02/2015,"domingo, 15 de Febrero de 2015",High,16,Sarah Ramsey,Small Business,Office Supplies,Rubber Bands,Staples Gold Paper Clips,New York,2.98,6,0.04,1.58
86836,12/02/2015,"sábado, 14 de Febrero de 2015",High,16,Sarah Ramsey,Small Business,Technology,Telephones and Communication,StarTAC 7797,New York,115.99,10,0.05,2.5
86837,08/04/2015,"jueves, 09 de Abril de 2015",Critical,15,Timothy Reese,Small Business,Office Supplies,Envelopes,Grip Seal Envelopes,New York,4.42,7,0,4.99
86838,12/05/2015,"jueves, 14 de Mayo de 2015",Medium,14,Gwendolyn F Tyson,Small Business,Furniture,Office Furnishings,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,Minnesota,78.69,16,0.09,19.99
86838,12/05/2015,"miércoles, 13 de Mayo de 2015",Medium,14,Gwendolyn F Tyson,Small Business,Office Supplies,Pens & Art Supplies,Newell 321,Minnesota,3.28,7,0.08,2.31
86838,12/05/2015,"miércoles, 13 de Mayo de 2015",Medium,14,Gwendolyn F Tyson,Small Business,Office Supplies,Pens & Art Supplies,Newell 351,Minnesota,3.28,4,0.05,4.2
86838,12/05/2015,"miércoles, 13 de Mayo de 2015",Medium,14,Gwendolyn F Tyson,Small Business,Office Supplies,Rubber Bands,"OIC Colored Binder Clips, Assorted Sizes",Minnesota,3.58,4,0.05,1.63
86839,28/05/2015,"jueves, 28 de Mayo de 2015",Medium,15,Timothy Reese,Small Business,Office Supplies,Envelopes,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",New York,35.94,10,0.01,6.66
86846,15/06/2015,"miércoles, 17 de Junio de 2015",Critical,1860,Gina B Hess,Home Office,Office Supplies,Binders and Binder Accessories,Avery Hanging File Binders,Massachusetts,5.98,5,0.09,1.49
86847,19/03/2015,"domingo, 22 de Marzo de 2015",Not Specified,1854,Erika Morgan,Home Office,Technology,Computer Peripherals,Fellowes 17-key keypad for PS/2 interface,Connecticut,30.73,16,0.02,4
86847,19/03/2015,"sábado, 21 de Marzo de 2015",Not Specified,1852,Joy Kaplan McNeill,Home Office,Office Supplies,Paper,Xerox 23,California,6.48,10,0.06,5.14
86860,17/05/2015,"lunes, 18 de Mayo de 2015",Not Specified,3113,Wayne English,Corporate,Office Supplies,Binders and Binder Accessories,GBC Recycled Grain Textured Covers,Louisiana,34.54,17,0.07,14.72
86860,17/05/2015,"martes, 19 de Mayo de 2015",Not Specified,3113,Wayne English,Corporate,Office Supplies,Pens & Art Supplies,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Louisiana,34.58,13,0.06,8.99
86860,17/05/2015,"domingo, 17 de Mayo de 2015",Not Specified,3113,Wayne English,Corporate,Office Supplies,Paper,Xerox 1881,Louisiana,12.28,9,0.02,6.47
86867,11/03/2015,"jueves, 12 de Marzo de 2015",Not Specified,796,Amanda Conner,Corporate,Office Supplies,Binders and Binder Accessories,Avery Printable Repositionable Plastic Tabs,Nebraska,8.6,9,0.06,6.19
86868,01/06/2015,"jueves, 04 de Junio de 2015",Not Specified,797,Eileen Riddle,Corporate,Office Supplies,Pens & Art Supplies,Dixon Ticonderoga Core-Lock Colored Pencils,Utah,9.11,2,0.04,2.25
86868,01/06/2015,"miércoles, 03 de Junio de 2015",Not Specified,797,Eileen Riddle,Corporate,Office Supplies,Storage & Organization,Space Solutions Commercial Steel Shelving,Utah,64.65,13,0.07,35
86869,19/06/2015,"lunes, 22 de Junio de 2015",Not Specified,796,Amanda Conner,Corporate,Office Supplies,Appliances,Holmes Odor Grabber,Nebraska,14.42,1,0.1,6.75
86870,06/03/2015,"domingo, 08 de Marzo de 2015",Low,797,Eileen Riddle,Corporate,Office Supplies,Paper,Xerox 204,Utah,6.48,8,0.09,6.86
86874,18/06/2015,"viernes, 19 de Junio de 2015",Medium,2016,Wayne Bean,Corporate,Office Supplies,Pens & Art Supplies,Staples Battery-Operated Desktop Pencil Sharpener,Michigan,10.48,4,0.1,2.89
86883,11/02/2015,"viernes, 13 de Febrero de 2015",High,2489,Craig Liu,Consumer,Technology,Office Machines,Lexmark 4227 Plus Dot Matrix Printer,California,2036.48,2,0.01,14.7
